category|osm_id|lat|lon|name
63|N3102737795|51.4068915|5.4194015|Veldhoven, MMC Veldhoven Hoofdingang
64|N3102737796|51.4069367|5.4193324|MMC Veldhoven Hoofdingang
64|N3102737797|51.4073097|5.4179207|MMC Veldhoven Kempenbaan
63|N3102737798|51.4073618|5.4181594|Veldhoven, MMC Veldhoven Kempenbaan
63|N3102746373|51.4064957|5.4152058|Veldhoven, ASML-Gebouw 4
63|N3102796174|51.4305602|5.4514667|Eindhoven, Lodewijkstraat
0|N3111584576|51.4970831|5.6946736|De Bereboot
63|N3113579459|51.3882361|5.6877536|Keelven, Vaarselstraat
63|N3115097860|51.5641658|5.4593240|Sint Oedenrode, Odendael
23|N3132098797|51.4258255|5.3526906|Snacks en drank
16|N3166423696|51.5110714|5.3904214|Prinsenhof
84|N3166442368|51.5114912|5.3939437|Albert Heijn
84|N3166442373|51.5113967|5.3938292|Kaashuis Best
70|N3205021786|51.5114761|5.3931389|Bakker Bart
64|N3206786161|51.4328833|5.4023930|Houtwal
64|N3226984606|51.4079899|5.4173953|MMC Veldhoven Kempenbaan
63|N3226984607|51.4080645|5.4173288|Veldhoven, MMC Veldhoven Kempenbaan
20|N3235868861|51.4794290|5.5536200|Bibliotheek Nuenen
64|N3237149917|51.4741709|5.6243248|Automotive Campus
64|N3237149918|51.4680845|5.6304937|Station 't Hout
64|N3264399388|51.3502266|5.4588339|Markt
63|N3290919366|51.4470727|5.4579846|Eindhoven, Strijp S
63|N3290919368|51.4471788|5.4580743|Eindhoven, Strijp S
23|N3347570007|51.4108633|5.4590310|Subway
53|N3347570008|51.4109046|5.4596712|Campus Wellness Center
22|N3347570010|51.4108232|5.4587454|Love My Curry
22|N3347570012|51.4107135|5.4585908|Daely
47|N3347570014|51.4105207|5.4579512|ABN AMRO
10|N3354923237|51.4643265|5.5504676|Apotheek Nuenen
64|N3355903493|51.4714752|5.5669357|Beekstraat
63|N3377853691|51.4675039|5.5036718|Eindhoven, Eckartdal
63|N3377853692|51.4673685|5.4898441|Eindhoven, Mercuriuslaan
63|N3377856693|51.4670015|5.4962386|Eindhoven, Summa College Sterrenlaan
63|N3377856694|51.4675573|5.5050586|Eindhoven, Eckartdal
64|N3377887272|51.4675189|5.5050312|Eckartdal
64|N3377887273|51.4675491|5.5036588|Eckartdal
64|N3377897681|51.4669535|5.4979683|Summa College Sterrenlaan
64|N3377897682|51.4670370|5.4962372|Summa College Sterrenlaan
64|N3377905708|51.4672838|5.4911459|Mercuriuslaan
64|N3377905709|51.4674146|5.4898518|Mercuriuslaan
64|N3377921620|51.4673955|5.4826536|Churchilllaan
64|N3377921621|51.4674816|5.4824308|Churchilllaan
53|N3396690567|51.4232603|5.4866385|Basic-Fit
22|N3396690568|51.4202679|5.4957674|Lichtstad
73|N3396690569|51.4233358|5.4859926|Deli2Go
22|N3412417265|51.3785565|5.3558230|Restaurant Hotel Steensel
8|N3413528498|51.5104026|5.3852867|Huisartsenpraktijk Valk
64|N3416561592|51.4327343|5.4027727|Houtwal
22|N3446864518|51.4413487|5.4818572|Antonio's
31|N3446864520|51.4356816|5.4828807|Arcade
70|N3446864524|51.4409323|5.4762377|Bakkertje Bol
25|N3446864526|51.4360213|5.4822252|Bartenders
25|N3446864539|51.4414913|5.4808101|De Bengel
23|N3446864541|51.4390362|5.4783223|De Markt
23|N3446864542|51.4377946|5.4799747|Dik & Lang
22|N3446864560|51.4374089|5.4803425|Happy Italy
25|N3446864565|51.4386480|5.4762023|Hoogste Tijd
22|N3446864567|51.4412305|5.4813189|Ilio's
25|N3446864583|51.4386211|5.4761560|La Folie
23|N3446864592|51.4410315|5.4766355|McDonald's
22|N3446865796|51.4393083|5.4790138|Mint
22|N3446865799|51.4424424|5.4762295|Meat & Chips
23|N3446865802|51.4408004|5.4798680|Pakdöner
23|N3446865807|51.4361475|5.4823060|Pizza Punt
25|N3446865808|51.4410573|5.4806253|Plein4
29|N3446865813|51.4365250|5.4817461|Remix
23|N3446865823|51.4376711|5.4799933|Snack Plein
22|N3446865824|51.4354718|5.4832574|De Pizzabakkers
29|N3446865825|51.4377838|5.4799882|Stacey's
31|N3446865826|51.4411450|5.4802263|Storm
22|N3446865827|51.4377150|5.4800394|VIC kitchen & bar
22|N3446865828|51.4377376|5.4800183|ICHI
22|N3446865829|51.4416091|5.4813071|Suprème
25|N3446865834|51.4411303|5.4802550|The Rex
22|N3446865836|51.4411514|5.4809837|Tortillas Eindhoven
